Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2150
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,16
Absentee by Mail,ICC-Absentee by Mail - 6,5
Absentee by Mail,ICC-Absentee by Mail - 7,3
Election Day,ED-Hiawassee ICP 1 - 0,828
Election Day,ED-Young Harris ICP 1 - 0,481
Provisional,ICC-Provisional - 1,1
