Container,Batch Name,Number of Ballots
Election Day,ED-Blakely ICP 1 - 0,410
Advance Voting,AV-Elections Office ICP 1 - 0,801
Election Day,ED-Urquhart ICP 1 - 0,137
Election Day,ED-Cuba ICP 1 - 0,214
Election Day,ED-Arlington ICP 1 - 0,200
Election Day,ED-Cedar Springs ICP 1 - 0,185
Absentee by Mail,Absentee By Mail ICC - 1,20
Absentee by Mail,Absentee By Mail ICC - 2,20
Absentee by Mail,Absentee By Mail ICC - 3,16
Absentee by Mail,Absentee By Mail ICC - 4,4
Provisional,Provisional ICC - 1,1
