Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 2 - 0,1218
Advance Voting,AV-Elections Office ICP 1 - 0,1480
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,19
Absentee by Mail,ICC-Absentee by Mail - 5,24
Absentee by Mail,ICC-Absentee by Mail - 6,2
Election Day,ED-Salem ICP 1 - 0,132
Election Day,ED-Yatesville ICP 1 - 0,356
Election Day,ED-Redbone ICP 1 - 0,453
Election Day,ED-Redbone ICP 2 - 0,473
Election Day,ED-Town ICP 1 - 0,247
Election Day,ED-Town ICP 2 - 0,587
Provisional,ICC-Provisional - 1,1
