Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,763
Advance Voting,AV-Elections Office ICP 2 - 0,736
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,30
Absentee by Mail,Absentee By Mail ICC - 3,2
Election Day,ED-Pine Park Baptist Church ICP 1 - 0,138
Election Day,ED-Midway VFD ICP 1 - 0,276
Election Day,ED-Pine Level VFD ICP 1 - 0,212
Election Day,ED-Cairo Municipal Airport ICP 1 - 0,311
Election Day,ED-B&G Club ICP 1 - 0,253
Election Day,ED-Calvary VFD ICP 1 - 0,260
Election Day,ED-Agricenter ICP 1 - 0,325
Election Day,ED-Spence VFD ICP 1 - 0,164
Election Day,ED-Boy Scout Bldg ICP 1 - 0,313
Provisional,Provisional ICC - 1,1
